ts,Flow_421,P2O5_421,Flow_426,Den_426,Flow_449,Den_449,P2O5_449,SO4_449,Cl_449,Flow_int,PV_avg,SP
03/06/2024 17:50:42,83.4,8.700,32.119,1.397,16.990,1.285,15.900,3.947999954,36754,805.2689209,53.47736359,55.000
03/06/2024 17:48:18,83.6,8.700,32.119,1.397,18.412,1.285,15.900,3.948,36754,816.639,53.521,55.000
03/06/2024 17:45:54,83.8,8.700,32.119,1.397,18.436,1.285,15.900,3.948,36754,870.195,53.574,55.000
03/06/2024 17:43:30,83.8,8.700,32.119,1.397,21.529,1.285,15.900,3.948,36754,973.698,53.626,55.000
03/06/2024 17:41:06,83.7,8.700,31.990,1.397,21.619,1.285,15.900,3.948,36754,1007.830,53.679,55.000
03/06/2024 17:38:42,83.0,8.700,31.155,1.397,21.619,1.285,15.900,3.948,36754,1010.565,53.732,55.000
03/06/2024 17:36:18,75.2,8.700,30.321,1.397,21.641,1.285,15.900,3.948,36754,1008.160,53.785,55.000
03/06/2024 17:33:54,75.1,8.700,29.486,1.398,21.653,1.285,15.900,3.948,36754,1000.814,53.837,55.000
03/06/2024 17:31:30,74.9,8.700,29.187,1.398,21.650,1.285,15.900,3.948,36754,990.680,53.890,55.000
03/06/2024 17:29:06,74.9,8.700,29.409,1.398,21.661,1.285,15.900,3.948,36754,996.226,53.943,55.000
03/06/2024 17:26:42,75.0,8.700,29.631,1.398,21.707,1.285,15.900,3.948,36754,998.639,53.995,55.000
03/06/2024 17:24:18,75.1,8.700,29.853,1.398,21.691,1.285,15.900,3.948,36754,989.748,54.048,55.000
03/06/2024 17:21:54,75.2,8.700,30.075,1.399,21.722,1.284,15.900,3.948,36754,993.730,54.101,55.000
03/06/2024 17:19:30,75.1,8.700,30.297,1.399,21.692,1.284,15.900,3.948,36754,984.510,54.154,55.000
03/06/2024 17:17:06,75.0,8.700,30.519,1.399,21.675,1.284,15.900,3.948,36754,989.083,54.206,55.000
03/06/2024 17:14:42,74.9,8.700,30.741,1.399,21.615,1.228,15.900,3.948,36754,994.520,54.259,55.000
03/06/2024 17:12:18,75.0,8.700,30.963,1.399,21.642,1.168,15.900,3.948,36754,999.295,54.312,55.000
03/06/2024 17:09:54,75.0,8.700,31.185,1.399,21.601,1.108,15.900,3.948,36754,1001.192,54.365,55.000
03/06/2024 17:07:30,74.9,8.700,31.407,1.399,21.684,1.047,15.900,3.948,36754,999.029,54.417,55.000
03/06/2024 17:05:06,74.8,8.700,31.629,1.399,22.824,1.176,15.900,3.948,36754,998.589,54.470,55.000
03/06/2024 17:02:42,75.2,8.700,31.851,1.399,21.680,1.283,15.900,3.948,36754,997.926,54.523,55.000
03/06/2024 17:00:18,77.0,8.700,32.073,1.399,21.741,1.284,15.900,3.948,36754,1005.113,54.575,55.000
03/06/2024 16:57:54,84.0,8.700,32.178,1.399,21.717,1.285,15.900,3.948,36754,993.004,54.628,55.000
03/06/2024 16:55:30,84.2,8.700,32.220,1.399,21.788,1.249,15.900,3.948,36754,1001.677,54.681,55.000
03/06/2024 16:53:06,83.9,8.700,32.262,1.399,21.723,1.198,15.900,3.948,36754,1006.563,54.734,55.000
03/06/2024 16:50:42,83.9,8.700,32.304,1.399,21.786,1.147,15.900,3.948,36754,1004.429,54.786,55.000
03/06/2024 16:48:18,84.0,8.700,32.346,1.398,21.711,1.096,15.900,3.948,36754,1009.451,54.839,55.000
03/06/2024 16:45:54,84.0,8.700,32.389,1.398,22.823,1.146,15.900,3.948,36754,1000.711,54.892,55.000
03/06/2024 16:43:30,83.9,8.700,32.431,1.398,21.748,1.283,15.900,3.948,36754,1010.515,54.945,55.000
03/06/2024 16:41:06,83.8,8.700,32.473,1.398,21.768,1.284,15.900,3.948,36754,1007.809,54.997,55.000
03/06/2024 16:38:42,83.8,8.700,32.515,1.398,21.783,1.284,15.900,3.948,36754,1010.610,55.050,55.000
03/06/2024 16:36:18,83.8,8.700,32.557,1.398,21.670,1.284,15.900,3.948,36754,1008.092,55.103,55.000
03/06/2024 16:33:54,83.9,8.700,32.599,1.398,21.677,1.284,15.900,3.948,36754,1007.044,55.155,55.000
03/06/2024 16:31:30,84.3,8.700,32.642,1.398,21.711,1.284,15.900,3.948,36754,986.373,55.208,55.000
03/06/2024 16:29:06,83.9,8.700,32.684,1.398,21.691,1.284,15.900,3.948,36754,970.821,55.261,55.000
03/06/2024 16:26:42,84.0,8.700,32.726,1.398,21.735,1.284,15.900,3.948,36754,951.594,55.314,55.000
03/06/2024 16:24:18,84.0,8.700,32.768,1.398,21.780,1.284,15.900,3.948,37102,941.624,55.366,55.000
03/06/2024 16:21:54,83.9,8.500,32.810,1.398,21.726,1.284,15.300,4.049,37102,950.848,55.419,55.000
03/06/2024 16:19:30,83.9,8.500,32.852,1.398,21.750,1.284,15.300,4.049,37102,949.198,55.472,55.000
03/06/2024 16:17:06,84.0,8.500,32.894,1.397,21.754,1.285,15.300,4.049,37102,945.234,55.525,55.000
03/06/2024 16:14:42,84.0,8.500,32.937,1.397,21.747,1.285,15.300,4.049,37102,958.180,55.577,55.000
03/06/2024 16:12:18,84.1,8.500,32.979,1.397,21.809,1.279,15.300,4.049,37102,946.282,55.591,55.000
03/06/2024 16:09:54,83.9,8.500,33.021,1.397,21.750,1.216,15.300,4.049,37102,955.519,55.574,55.000
03/06/2024 16:07:30,83.8,8.500,33.063,1.397,21.740,1.154,15.300,4.049,37102,952.452,55.556,55.000
03/06/2024 16:05:06,84.0,8.500,33.105,1.397,21.733,1.091,15.300,4.049,37102,948.788,55.538,55.000
03/06/2024 16:02:42,84.0,8.500,33.147,1.397,21.755,1.029,15.300,4.049,37102,947.113,55.521,55.000
03/06/2024 16:00:18,84.0,8.500,33.190,1.397,22.870,1.210,15.300,4.049,37102,950.533,55.503,55.000
03/06/2024 15:57:54,84.2,8.500,33.232,1.397,21.746,1.284,15.300,4.049,37102,959.721,55.485,55.000
03/06/2024 15:55:30,83.9,8.500,33.274,1.397,21.685,1.284,15.300,4.049,37102,945.999,55.468,55.000
03/06/2024 15:53:06,83.9,8.500,33.316,1.397,21.680,1.284,15.300,4.049,37102,963.891,55.450,55.000
